chunk_size,chunk_overlap,top_k,avg_precision,avg_recall,num_chunks
200,50,1,0.2359798557990048,0.6693724739381033,178
200,50,5,0.10060308205541796,0.8882285385216102,178
200,50,10,0.06580025985065702,0.9337358417462265,178
200,100,1,0.23702536215955833,0.6772842991583983,266
200,100,5,0.11297454304567513,0.878177137701578,266
200,100,10,0.07508860377361959,0.9222714466886488,266
400,50,1,0.14047112467923542,0.6794670181283037,76
400,50,5,0.05978134691205136,0.9094406876407264,76
400,50,10,0.038945168600226454,0.9689018623665461,76
400,100,1,0.14953986871677702,0.7215266124155095,89
400,100,5,0.06342159072791752,0.9298733437419426,89
400,100,10,0.04146948932421066,0.9695491993154385,89
